game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
2021,Campeonato Argentino,Thierer Sebastian,Cohen Mercedes,46,24,49,f5f6e6f4g5h4e3c5c4d3c3d6c6d2e1c1e2c2f2f3d1f1d7b4b3a3e7f7b5a6a4a5b6a7g6h7g4f8c7e8c8g3h6h5d8b8h2g7g2h1h3g1h8g8a8a2b2b7b1a1
2021,Campeonato Argentino,Bilinkis Mariano,Martinez Norberto,42,24,40,f5f6e6f4e3d3f3d2e2g3c3c4d1c5d6f7f2c2g4g5e7c6d7e8g6h5h6h7c8c7f8g8h4h3b4b5d8b8b3a4a3a2a6b6a7e1c1b1g1f1a1a5b2a8b7g7h8h2g2h1
2021,Campeonato Argentino,Dottore Matias,Nakasone David,22,24,15,f5d6c6f4f3e3c4d3c5e6f6g4c3e7d8g5h4h3h2g3h5f7g8b4g6c2c1d2d1b6a6f2e1g7a5b3e2h6a3h1h8d7c7g1b5g2h7c8b8a4f1b1b7a8a7b2a1a2e8f8
2021,Campeonato Argentino,Olivares Diego,Chaufan Leonardo,13,24,27,f5d6c4d3c5f6e6f4g6c6b6b5b4a4b3a6c3e7a5h6f7f8a3a2e2d2d1e1f1f2c2e3g2d7g4h3h4h5d8g5e8c8g7h8g8h7c7f3g3h1h2g1b2b7b8a8a7a1b1c1
2021,Campeonato Argentino,Roldan Matias,Chiesa Nicolas,29,24,23,f5f4e3f6c4d3f3c5c6c3e6d6g4h4h5h6c2h3e2e1d1c1f2d2g5g6g3h2d7f1f7b1g2f8g7b5a5d8e8e7b4c8c7a4a3a6b3h8h7h1g1g8a1b6b2a2a7b7b8a8
2021,Campeonato Argentino,Lucioli Juan Pablo,Perez Rafael,18,24,20,f5f6e6f4e3c5g5f3g6d3g4h4f2g3c4c6d2c3c2d7h3h5e7h2d6c7d8f1b2e2e1b3a2b4b7f8b6a3a5a1a4b5a6b1h6h7g7h8g8f7g2d1c1a8e8a7b8c8g1h1
2021,Campeonato Argentino,Garcia Leandro,Iturbide Paula,22,24,20,f5d6c3d3c4f4c5b4c6e6e7b5d7f6b3c2a5f7e2a4a3d2g6a6a7b6c7d8g5g4f3e3f2g3h4e1f8e8c8h6f1d1g2b2h5h3h2h1g1h7a1a2b1c1g7h8g8b8b7a8
2021,Campeonato Argentino,Thierer Sebastian,Olivares Daniel,40,24,27,f5f6e6f4g5g6g4e7f3d6f7h5h4h3h7e3g3h2d8f2d7f8e8c8d3c3e2f1c7d2e1g2c6g8d1h6h1g1b3c2c1c4b4b8c5b2a2a1b1a3b6b5a6a5a7a8b7g7h8a4
2021,Campeonato Argentino,Bilinkis Mariano,Lisnovsky Marcelo,33,24,39,f5d6c5f4e3c6f3c3d3c4e6d2c1e1b5b6b4a3e2a4d7e8c8g4b3c7f6g5c2f2g6f1h5f7e7f8d8b8h4h3g3h6d1b1b2a1a2h2g2h1g1h7h8a5a6b7a8a7g8g7
2021,Campeonato Argentino,Nakasone David,Coll Pablo,47,24,32,f5d6c3d3c4f4c5b3c2e3d2c6b4b5e2e6f3f2a3d1c1e1a4a5a6b6f1g4h5h3g6f6g5g3f7h7e7d7d8c7c8f8e8b8g7a2a1b1a7h8g8g2a8b7h2h1g1h6h4b2
2021,Campeonato Argentino,Furno Ricardo,Chaufan Leonardo,49,24,47,f5d6c4d3c5f6e6f4c6e7e3f3f7c3d7d8g6b4c8f8b3a3b5a6a4a5g4h4f2f1e2d1g5g3d2h6h3c2c1c7e8b8h5b6h7b1e1g2a1b2a2h2h1g7a7b7g1a8g8h8
2021,Campeonato Argentino,Martinez Norberto,Seifert Max,24,24,31,f5f6e6f4e3c5b6f3g6c3g4g5g3h3d6e7h4c6f7c4d3h6h5f8d8a6b5d7c7f2e1d2e2c2d1c1b4a3c8b3b1g1e8b8g7g8b2h2h1f1g2a1h7a2b7a8a7h8a4a5
2021,Campeonato Argentino,Rondina Liliana,Cohen Mercedes,43,24,28,f5f6f7f4f3d6c3d3e3g4c6f8h4f2e6e7f1c5c4g5h5d2c1e2c2g3h3b4a4b5d8b3d7g6h6c7a3d1e1b2c8e8g8g2b1g7a1a2b6a6h8h7g1b7a8a5a7b8h1h2
2021,Campeonato Argentino,Chiesa Nicolas,Dottore Matias,44,24,36,f5f6e6f4e3c5c6d3c4d6c3d2f3e2d1b6e7f8c7f2a6b5g6c8a5b4a4c2b3c1b1f7e1f1g1h6e8d8d7b2g2g4h5h4g5a2a1g3a3h1g7a7a8b7b8h7g8h3h2
2021,Campeonato Argentino,Olivares Diego,Roldan Matias,24,24,28,f5d6c4d3e2f6f7f3f4e3d7c6b6e1c5e6d2c3c2c7c8d8c1a5e8e7f2b5a6a4a3b4b3g6d1f8g8f1g3h4g5b1g4h3b8h5h6h7b7a8g1h8a1a2a7g7g2b2h2h1
2021,Campeonato Argentino,Perez Rafael,Iturbide Paula,57,24,52,f5d6c3d3c4f4c5b4b3b5c6e6a6a5e3c2a4e2d7c7b6d8c1a2f6e7d2e1d1b1a3a7f3g6f2g5h5f1g4h6g3h4g2h3h1h2h7g7h8g8f8f7g1a1b2b8c8e8a8b7
2021,Campeonato Argentino,Lucioli Juan Pablo,Thierer Sebastian,34,24,34,f5f6e6f4g5e7f7d6d8h6h4g6c4h5c5h3d3f8e3d2e2f2g3f3f1d1c1b1g4e8g8c2g2c3e1d7a1h1h2g1c7b4g7c6a4c8b5b6b3a2b2a3b8a5a6a7a8b7h7h8
2021,Campeonato Argentino,Nakasone David,Bilinkis Mariano,29,24,32,f5d6c3d3c4f4c5b3c2e3d2c6b4a3b5a4e7e2g4f3b6c7g3f2a6h3e6e1d7f6f1d1c1a5a2b7g5h5g1b2h4h6g6g2d8b8a1b1h1h2a8c8e8a7f7g8f8h7h8g7
2021,Campeonato Argentino,Coll Pablo,Garcia Leandro,21,24,16,f5d6c3d3c4f4c5b3c2b4e3e6c6g4g3d2e2f6h4b5b6d7g5f3f2h6h5g6a5a3a4a6c7e7h7a2c8f7f8f1d1b1e1c1e8d8b8g1b2h3h2g7h8g8b7a1g2a8a7h1
